Title,Link
login,login?goto=news
Things you can do with a Software Defined Radio (2024),https://blinry.org/50-things-with-sdr/
CIA Freedom of Information Act Electronic Reading Room,https://www.cia.gov/readingroom
Self Propagating NPM Malware Compromises over 40 Packages,https://www.stepsecurity.io/blog/ctrl-tinycolor-and-40-npm-packages-compromised
We're launching a new Google app for Windows experiment in Labs,https://blog.google/products/search/google-app-windows-labs/
Mother of All Demos (1968),https://wordspike.com/s/5ip0xneiTsc
Implicit Ode Solvers Are Not Universally More Robust Than Explicit Ode Solvers,https://www.stochasticlifestyle.com/implicit-ode-solvers-are-not-universally-more-robust-than-explicit-ode-solvers-or-why-no-ode-solver-is-best/
IINA Introduces Plugin System,https://iina.io/plugins/
"Generative AI is hollowing out entry-level jobs, study finds",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555
Tesla Faces US Auto Safety Investigation over Door Handles,https://www.bloomberg.com/news/articles/2025-09-16/tesla-tsla-faces-probe-by-us-auto-safety-agency-over-door-handles
Hosting a website on a disposable vape,https://bogdanthegeek.github.io/blog/projects/vapeserver/
Robert Redford has died,https://www.nytimes.com/2025/09/16/movies/robert-redford-dead.html
"60 years after Gemini, newly processed images reveal details",https://arstechnica.com/space/2025/09/60-years-after-gemini-newly-processed-images-reveal-incredible-details/
"Teen Safety, Freedom, and Privacy",https://openai.com/index/teen-safety-freedom-and-privacy
Microsoft Favors Anthropic over OpenAI for Visual Studio Code,https://www.theverge.com/report/778641/microsoft-visual-studio-code-anthropic-claude-4
Java 25 Officially Released,https://mail.openjdk.org/pipermail/announce/2025-September/000360.html
Scientists uncover extreme life inside the Arctic ice,https://news.stanford.edu/stories/2025/09/extreme-life-arctic-ice-diatoms-ecological-discovery
The old SF tech scene is dead. What it's morphing into is more sinister,https://www.sfgate.com/tech/article/bay-area-tech-scene-dorky-now-terrifying-21042943.php
Learn x86-64 assembly by writing a GUI from scratch (2023),https://gaultier.github.io/blog/x11_x64.html
"""Your"" vs. ""My"" in user interfaces",https://adamsilver.io/blog/your-vs-my-in-user-interfaces/
React is winning by default and slowing innovation,https://www.lorenstew.art/blog/react-won-by-default/
Migrating to React Native's New Architecture,https://shopify.engineering/react-native-new-architecture
Adding FRM parser utility to MariaDB,https://hp77-creator.github.io/blogs/gsoc25
macOS Tahoe,https://www.apple.com/os/macos/
William Gibson Reads Neuromancer (2004),http://bearcave.com/bookrev/neuromancer/neuromancer_audio.html
Trucker built a scale model of NYC over 21 years,https://gothamist.com/arts-entertainment/this-trucker-built-a-scale-model-of-nyc-over-21-years-its-drawing-museums-attention
"WordNumbers: Counting letters of number names, alphabetized and concatenated",http://conway.rutgers.edu/~ccshan/wiki/blog/posts/WordNumbers1/
"Wanted to spy on my dog, ended up spying on TP-Link",https://kennedn.com/blog/posts/tapo/
Klotski,https://2swap.github.io/Klotski-Webpage/
I feel Apple has lost its alignment with me and other long-time customers,https://morrick.me/archives/10137
PayPal to support Ethereum and Bitcoin,"https://newsroom.paypal-corp.com/2025-09-15-PayPal-Ushers-in-a-New-Era-of-Peer-to-Peer-Payments,-Reimagining-How-Money-Moves-to-Anyone,-Anywhere"
